feature_0,feature_1,is_anomaly
3.1294205834027693,0.7353263708339548,1
-1.3460338708977906,9.02451918921791,0
-1.3079837008888053,8.606210755176772,0
-0.62301172184222,9.188863941030162,0
-2.185113653657955,8.629203847782007,0
-2.1822702492885875,8.795185599389459,0
-2.6609827180883334,9.6026033346829,0
-2.452547698155643,9.543978882555054,0
-3.299672078498062,9.485754485334319,0
-2.3490930844855473,0.2970771795868541,1
-2.8169758580057507,9.233436455862263,0
-1.7815680794157704,9.066232014005623,0
-0.914692559827778,8.167324779879996,0
-1.6140044030250178,9.649457929880294,0
-3.8136671235576034,9.683958677028361,0
-4.034853937622845,10.276870231625505,0
-2.643506364523298,9.825094401358106,0
-2.368311376141546,7.2458467626354714,0
-3.8868669910098412,8.076461088283201,0
-2.4606759951079233,8.183336011787286,0
-2.542427613697211,8.806169270925784,0
-3.1209667139580355,8.977249331149912,0
-2.6693304186193907,9.685626204648788,0
-1.2434897821880497,8.148111279983823,0
-2.3314966221194964,7.6789417694882225,0
-4.201662252767569,10.543836447658936,0
-2.6704833347187593,9.418336985012862,0
-2.998637065570972,10.058447005267395,0
-2.7481456699191598,8.106722466156725,0
-2.004210344072293,9.880041322368445,0
-4.043311793788373,10.291962950096833,0
-5.933734594516771,3.78553714145801,1
-4.028567589006764,8.530052055332073,0
-3.217604389963213,7.500571735585496,0
-2.7786044574973077,9.731828383994285,0
-1.0580540152577085,9.97355695428353,0
-2.730161796882414,9.041171967192854,0
-2.5438825104395315,9.248500860734843,0
-2.3405429510860225,9.456226777767732,0
-2.597479671404005,11.593995465852641,0
-2.6672055216317396,8.587405058250903,0
-3.4324308691636545,7.66260152258199,0
-1.8122432185420145,8.680466638442313,0
-2.3293034718992716,10.406288414542923,0
-1.9872560574358524,9.31127080143151,0
-4.631052522061345,8.406464141103891,0
-0.8252699315948815,8.555401865329383,0
-2.4273682645051853,8.915396475007181,0
-1.5108867249047897,8.582665815480276,0
-1.4021169537657774,8.893904964244726,0
-2.3959272125149855,7.576008149880956,0
-1.3087837151083248,8.357391849226927,0
-1.3297575023314632,8.545110476093619,0
-1.8014456875972749,8.451819352304057,0
-3.789502021723645,9.886743456478468,0
-2.7182208803387753,8.163765673989024,0
-3.2112507169301026,8.686623981600555,0
-1.4355658731929781,7.987770828787263,0
-1.9915386025836272,8.288542315044857,0
-2.268444443564182,11.615969242378718,0
-1.2534414974792294,8.11967882597882,0
-2.5423245959265475,10.808843991716111,0
-2.5347516940441954,10.187015147457688,0
-2.158567523779191,9.503473258345986,0
3.266937231559889,-3.615411821589931,1
-0.9296254773220378,8.491426101045056,0
-4.576639723092627,8.925166088685534,0
-3.5800901211138623,9.496758543441508,0
-3.1551618021772856,8.21509412154807,0
-0.7816544529520388,9.450609797872355,0
-1.3234934683897532,9.73323943886339,0
-1.8664748631852062,10.343438658330754,0
-1.6887154418553858,9.521560159305622,0
-2.4337639841511574,7.412320316301155,0
-1.651537999850731,8.854347598234897,0
-2.3828180435063384,10.953215127256609,0
-0.38704142604011693,10.04675138874947,0
-3.282986822156323,7.7696314248869065,0
-3.0857080237794694,6.423243836053413,0
-3.599596700495596,10.425218507944594,0
-3.799158522793804,7.719207356134707,0
-2.7665741604760954,7.345702054320734,0
-2.5862993324668544,9.355438103014967,0
-0.4466727038096052,7.94675321394405,0
2.4822881261714054,2.7480860164918477,1
-2.0082804354283694,8.036730883399771,0
-2.1900231126335696,10.354736574221468,0
-2.2493148288043265,9.796108999975633,0
-1.5131499372469337,8.257491039628862,0
-1.9225038215774755,8.539382471575799,0
-2.3486236420028854,9.017332148351738,0
-4.3123372993086955,7.430150185192834,0
-5.457272533073543,-2.096036030840828,1
-1.5551958595595479,9.665677379504121,0
-4.071743479939293,8.485233450852029,0
