time,value,trend,seasonal,noise
0.0,0.14901424590336979,0.0,0.0,0.14901424590336979
1.0,0.13385394321294886,0.05,0.12533323356430426,-0.0414792903513554
2.0,0.5429964485950626,0.1,0.2486898871648548,0.19430656143020775
3.0,0.9750335096070855,0.15000000000000002,0.3681245526846779,0.45690895692240757
4.0,0.6115076616847146,0.2,0.4817536741017153,-0.07024601241700079
5.0,0.767544165207719,0.25,0.5877852522924731,-0.07024108708475416
6.0,1.458310950580906,0.30000000000000004,0.6845471059286886,0.47376384465221744
7.0,1.350743661521662,0.35000000000000003,0.7705132427757893,0.23023041874587263
8.0,1.1034856097215295,0.4,0.8443279255020151,-0.14084231578048562
9.0,1.517595065541809,0.45,0.9048270524660196,0.1627680130757894
10.0,1.312031208451415,0.5,0.9510565162951535,-0.13902530784373868
11.0,1.3925683246576117,0.55,0.9822872507286886,-0.13971892607107705
12.0,1.6706154098980819,0.6000000000000001,0.9980267284282716,0.07258868146981023
13.0,1.0740426550309323,0.65,0.9980267284282716,-0.5739840733973394
14.0,1.164811900974779,0.7000000000000001,0.9822872507286887,-0.5174753497539099
15.0,1.532370257522862,0.75,0.9510565162951536,-0.1686862587722918
16.0,1.4009777163656922,0.8,0.9048270524660195,-0.3038493361003271
17.0,1.788602125280597,0.8500000000000001,0.844327925502015,0.09427419977858216
18.0,1.398106020119426,0.9,0.7705132427757893,-0.2724072226563633
19.0,1.2108559955281013,0.9500000000000001,0.6845471059286888,-0.4236911104005875
20.0,2.0274798829689393,1.0,0.5877852522924732,0.4396946306764662
21.0,1.4640207839557546,1.05,0.4817536741017152,-0.06773289014596069
22.0,1.4883830140910554,1.1,0.36812455268467814,0.02025846140637715
23.0,0.9712654313008184,1.1500000000000001,0.24868988716485524,-0.42742445586403705
24.0,1.16201841620675,1.2000000000000002,0.12533323356430454,-0.1633148173575548
25.0,1.28327677691296,1.25,1.2246467991473532e-16,0.03327677691295983
